"문항번호","공식정답","CorpusScope","Baseline답","Baseline정답여부","Sol답","Sol정답여부","상태변화","Baseline법률Tool호출","Sol법률Tool호출","BaselineToolQuery","SolToolQuery","BaselineTopK","BaselineScores","SolTopK","SolScores","SolTool호출횟수","Sol오류","Sol실패유형"
"21","4","in_scope","5","X","","오류","sol_error","Y","Y","공인 중개사 협회의 업무","공인중개사법 공인중개사협회 업무 회원 윤리헌장 부동산 정보 제공 표시 광고 모니터링 회원 품위 유지 | 공인중개사법 시행령 협회의 업무 윤리헌장 제정 실천 부동산정보 제공 회원 품위 유지 조문 | ""회원의 품위유지를 위한 업무"" ""부동산정보제공에 관한 업무"" 공인중개사협회 | 공인중개사법 시행령 제30조 협회의 업무","공인중개사법 제51조 | 공인중개사법 제18조의2 | 공인중개사법 제42조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제24조","0.8198613630470586 | 0.8070063853484509 | 0.8059844197498532 | 0.7988143446996364 | 0.7955521166133807","공인중개사법 제51조 | 공인중개사법 제18조의2 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 제42조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 제18조의2 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제24조 | 공인중개사법 제14조 | 부동산 거래신고 등에 관한 법률 시행령 제21조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제24조 | 공인중개사법 제2조 | 공인중개사법 제41조 | 집합건물의 소유 및 관리에 관한 법률 제26조 | 공인중개사법 제30조 | 공인중개사법 제42조 | 공인중개사법 시행령 제24조 | 공인중개사법 제2조 | 공인중개사법 시행령 제31조","0.818495958846468 | 0.802497498170577 | 0.7959105465797406 | 0.7939404928444048 | 0.7918469452839859 | 0.8062498133382355 | 0.7977561290813183 | 0.7941861995077347 | 0.791725081588067 | 0.7912750403720951 | 0.7987693561371247 | 0.7907363954990104 | 0.7886115841328857 | 0.7855202851445887 | 0.7815027688128676 | 0.8124808114698979 | 0.8092741350946776 | 0.8061474146079793 | 0.8013393204871525 | 0.7962403762425406","4","OpenAIToolLoopError: OpenAI tool call limit exceeded","needs_manual_review"
"22","4","in_scope","2","X","4","O","baseline_wrong_to_sol_correct","Y","Y","토지 거래 허가 구역 지정","부동산 거래신고 등에 관한 법률 토지거래허가구역 지정 둘 이상의 시도 5년 효력 공고 통지 등기소 7일 15일 열람","부동산 거래신고 등에 관한 법률 제10조 | 부동산 거래신고 등에 관한 법률 제10조 | 부동산 거래신고 등에 관한 법률 제11조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 제3조","0.8012514488483435 | 0.7941198880184737 | 0.793672921354538 | 0.7874225296088246 | 0.7769546324048654","부동산 거래신고 등에 관한 법률 제10조 | 부동산 거래신고 등에 관한 법률 제10조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 제12조 | 부동산 거래신고 등에 관한 법률 제3조","0.7998379772496232 | 0.7941198880184737 | 0.7874225296088246 | 0.7862908138449046 | 0.7769546324048654","1","","success"
"23","2","in_scope","5","X","2","O","baseline_wrong_to_sol_correct","Y","Y","부동산 거래 계약의 변경 신고","부동산 거래신고 등에 관한 법률 시행규칙 부동산 거래계약 변경 신고 사항 거래가격 공동매수 매수인 추가 거래 지분 비율 거래대상 부동산 면적 거래 지분","부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의3 | 부동산 거래신고 등에 관한 법률 제11조 | 부동산 거래신고 등에 관한 법률 시행규칙 제4조","0.8284012742281223 | 0.8001380178960195 | 0.7802786211038186 | 0.7768168278500949 | 0.7759156008237875","부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 제11조 | 부동산 거래신고 등에 관한 법률 시행규칙 제4조 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의3","0.833678400960206 | 0.8029564650473899 | 0.7842031014865718 | 0.7781877836026382 | 0.7778979174836991","1","","success"
"24","4","in_scope","4","O","4","O","both_correct","Y","Y","주택 임대차 계약 신고","부동산 거래신고 등에 관한 법률 주택 임대차 계약 신고 대상 지역 보증금 6천만원 월차임 30만원 갱신 계약 금액 변동 없음 지방공사 공동신고 개업공인중개사 신고 의무 | 부동산 거래신고 등에 관한 법률 제6조의2 주택 임대차 계약 신고 공동 신고 국가등 지방공사 | 부동산 거래신고 등에 관한 법률 시행령 제4조의3 주택 임대차 계약 신고 지역 금액 보증금 6천만원 월차임 30만원 | 부동산 거래신고 등에 관한 법률 시행령 주택 임대차 갱신 보증금 차임 증감 없이 기간만 연장 신고 제외 | 부동산 거래신고 등에 관한 법률 주택 임대차 계약 개업공인중개사 신고 의무 | ""보증금 및 차임의 증감 없이 임대차 기간만 연장하는 갱신임대차계약"" | ""보증금이 6천만원을 초과하거나 월 차임이 30만원을 초과"" 주택 임대차 신고 | ""특별자치시"" ""광역시"" ""군"" 주택 임대차 계약 신고 시행령 제4조의3 | ""지방공기업법"" ""지방공사"" ""국가등"" 부동산 거래신고 시행령 제3조","부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 시행령 제6조","0.8009959406107301 | 0.8003451800469358 | 0.795423890966271 | 0.7895176660766365 | 0.7885565662859969","공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 제3조","0.8003451800469358 | 0.7996035023651645 | 0.7976527528449776 | 0.795423890966271 | 0.7895176660766365 | 0.8011422224858151 | 0.8003451800469358 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271 | 0.8010467988747857 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271 | 0.7895176660766365 | 0.8011422224858151 | 0.8010467988747857 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271 | 0.8010467988747857 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271 | 0.7895176660766365 | 0.8011422224858151 | 0.8010467988747857 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271 | 0.8011422224858151 | 0.8003451800469358 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271 | 0.8010467988747857 | 0.8009959406107301 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271 | 0.8011422224858151 | 0.8003451800469358 | 0.7996035023651645 | 0.7971229454153114 | 0.795423890966271","9","","success"
"25","5","in_scope","5","O","5","O","both_correct","Y","Y","부동산 거래 신고","부동산 거래신고 정정 거래지분비율 주택 이용계획 법인 매수 신고사항 신고필증 검인 계약 해제 30일 단독 신고 | 부동산 거래신고 등에 관한 법률 거래계약 해제 취소 무효 확정 30일 거래당사자 단독 신고 개업공인중개사 신고 | 부동산 거래신고 등에 관한 법률 시행령 별표 1 주택 매수 자금조달계획 이용계획 투기과열지구 외 6억원 자연인 법인 주택 이용계획 신고 | 부동산 거래신고 등에 관한 법률 제3조의2 부동산 거래의 해제등 신고 공동 단독 | 부동산 거래신고 등에 관한 법률 시행령 제3조 별표 1 실제 거래가격 6억원 주택 이용계획 입주 예정 시기 법인","부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제20조","0.8170466046368078 | 0.7940387728320933 | 0.7921022941676239 | 0.7881929858908117 | 0.785613673244725","부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제20조","0.8170465892611403 | 0.7940387697351161 | 0.7924550525126794 | 0.7881929858908117 | 0.785613673244725 | 0.7986820996964483 | 0.7940387728320933 | 0.7924550525126794 | 0.7881929858908117 | 0.785613673244725 | 0.8170465892611403 | 0.7940387728320933 | 0.7924550525126794 | 0.7881929858908117 | 0.785613673244725 | 0.8170465892611403 | 0.7940387728320933 | 0.7924550525126794 | 0.7877848415499775 | 0.785613673244725 | 0.8170465892611403 | 0.7940387728320933 | 0.7921022941676239 | 0.7881929858908117 | 0.785613673244725","5","","success"
"26","2","in_scope","1","X","2","O","baseline_wrong_to_sol_correct","N","Y","","부동산 거래신고 등에 관한 법률 외국인 정부 간 기구 외국법인 신축 취득 신고 60일 교환 계약 매매 계약 거래신고 계속보유 6개월 | 부동산 거래신고 등에 관한 법률 제2조 외국인등 정의 정부 간 기구 | 부동산 거래신고 등에 관한 법률 시행령 외국인등 계약 외 원인 건축물 신축 취득 신고","","","부동산 거래신고 등에 관한 법률 제8조 | 부동산 거래신고 등에 관한 법률 제3조 | 공인중개사법 제24조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 제8조 | 부동산 거래신고 등에 관한 법률 제3조 | 공인중개사법 제24조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 제8조 | 부동산 거래신고 등에 관한 법률 제3조 | 공인중개사법 제24조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2","0.8001390309097475 | 0.784972487497987 | 0.7837789026704862 | 0.7781626497074852 | 0.7777119364002397 | 0.7998468243530704 | 0.7846101290581404 | 0.7826609357504853 | 0.7781626497074852 | 0.7767597058605905 | 0.8001390309097475 | 0.7846101290581404 | 0.7837789026704862 | 0.7781626497074852 | 0.7769732224916633","3","","success"
"27","5","in_scope","4","X","","오류","sol_error","Y","Y","부동산 거래 신고 등에 관한 법령 허가 구역 내 토지 거래 허가 적용 제외","부동산 거래신고 등에 관한 법률 토지거래허가구역 허가 규정 적용 제외 외국인 토지취득 허가 공익사업 토지 환매 한국농어촌공사 농지 매매 | ""토지거래계약에 관한 허가"" ""적용하지 아니한다"" ""환매"" ""한국농어촌공사"" | 부동산 거래신고 등에 관한 법률 시행령 제11조 토지거래허가 적용 제외 한국농어촌공사 환매 외국인 | ""법 제11조를 적용하지 아니한다"" 부동산 거래신고 시행령","부동산 거래신고 등에 관한 법률 제12조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 시행령 제10조 | 부동산 거래신고 등에 관한 법률 시행령 제16조 | 부동산 거래신고 등에 관한 법률 시행규칙 제7조","0.7833661406050522 | 0.7797144570960309 | 0.7675284161061854 | 0.7599835558088688 | 0.7576553682652669","부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 제24조 | 부동산 거래신고 등에 관한 법률 제11조 | 부동산 거래신고 등에 관한 법률 제10조 | 부동산 거래신고 등에 관한 법률 시행령 제10조 | 공인중개사법 제24조 | 부동산 거래신고 등에 관한 법률 제11조 | 부동산 거래신고 등에 관한 법률 제12조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 제12조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 제11조 | 부동산 거래신고 등에 관한 법률 시행령 제10조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제10조 | 부동산 거래신고 등에 관한 법률 제15조 | 부동산 거래신고 등에 관한 법률 제20조 | 공인중개사법 시행령 제27조 | 부동산 거래신고 등에 관한 법률 시행규칙 제7조","0.7851654996755069 | 0.7836806034055929 | 0.7813061969903359 | 0.7706500391179416 | 0.7677360748389023 | 0.7748725211098296 | 0.7730758925106785 | 0.7725377164989217 | 0.77242232001381 | 0.7714344612574578 | 0.7889225605288387 | 0.7883439512137533 | 0.7876072383992851 | 0.7733266909654221 | 0.7732936046939676 | 0.7647045247069185 | 0.7569283020780125 | 0.7562329389641366 | 0.7544723572250799 | 0.7539318563334966","4","OpenAIToolLoopError: OpenAI tool call limit exceeded","needs_manual_review"
"28","1","in_scope","2","X","1","O","baseline_wrong_to_sol_correct","Y","Y","부동산 거래 신고의 대상","부동산 거래신고 대상 증여 계약 공공주택 특별법 공급계약 토지거래허가 매매계약 택지개발촉진법 공급받는 자로 선정된 지위 빈집 및 소규모주택정비법 입주자로 선정된 지위 | 부동산 거래신고 등에 관한 법률 토지거래계약 허가 받은 경우 제3조 신고한 것으로 본다 증여 신고 대상 | 부동산 거래신고 등에 관한 법률 시행령 제3조 공공주택 특별법 택지개발촉진법 공급계약 신고 대상 법률","부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 주택임대차보호법 제3조의2 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 부동산 거래신고 등에 관한 법률 시행령 제6조","0.801380144619352 | 0.7997047096622617 | 0.789152578425624 | 0.7855116563479484 | 0.7853146863097925","부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 시행령 제14조 | 공인중개사법 제23조 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 부동산 거래신고 등에 관한 법률 제11조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 부동산 거래신고 등에 관한 법률 제3조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 시행규칙 제6조의2 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 공인중개사법 제23조","0.8030521756271939 | 0.7983976742903326 | 0.7913489067076737 | 0.7790049707907417 | 0.7754705562899252 | 0.7952176295494288 | 0.7925855859694527 | 0.7777323055248626 | 0.7777245726420802 | 0.7742564152929828 | 0.7920800053030765 | 0.7756104073246847 | 0.7730226390427143 | 0.770869247636266 | 0.7632283780354436","3","","success"
"29","4","partial_scope","4","O","4","O","both_correct","N","Y","","주택임대차 대항력 가족 자녀 주민등록 임차권등기 전세권 양수인 연체차임 공제 소액임차인 최우선변제 경매 매각 임차권 소멸 선순위 저당권 | 주택임대차보호법 제3조 대항력 주택 인도 주민등록 가족 자녀 전입신고 임차권등기 | 주택임대차보호법 제3조의3 임차권등기 대항력 주택 인도 주민등록 없이 대항력 취득 | 주택임대차보호법 소액임차인 최우선변제 선순위 저당권 경매 임차권 매각 소멸 | 전세권 양수 선의 제3자 연체 차임 공제 임대인 대항 민법 전세권 양도","","","상가건물 임대차보호법 제10조의4 | 주택임대차보호법 제3조의2 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 공인중개사법 제51조 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 주택임대차보호법 제3조의2 | 공인중개사법 제51조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제24조 | 상가건물 임대차보호법 제10조의4 | 주택임대차보호법 제3조의2 | 공인중개사법 제51조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제24조 | 상가건물 임대차보호법 제10조의4 | 주택임대차보호법 제3조의2 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 공인중개사법 제51조 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조의4 | 주택임대차보호법 제3조의2 | 부동산 거래신고 등에 관한 법률 시행령 제14조의2 | 공인중개사법 제51조 | 공인중개사법 시행규칙 제20조","0.7743652082381765 | 0.7715361412993623 | 0.7708909681151911 | 0.7703898450345242 | 0.7670191613332914 | 0.7743652082381765 | 0.7715361412993623 | 0.7703898450345242 | 0.7670191613332914 | 0.7640678417558099 | 0.7743652082381765 | 0.7715361412993623 | 0.7703898450345242 | 0.7654614380471433 | 0.7640678417558099 | 0.7743652082381765 | 0.7715361412993625 | 0.7708909645940288 | 0.7703898450345242 | 0.7670191613332914 | 0.7743652082381765 | 0.7715361412993623 | 0.7708909645940288 | 0.7703898450345242 | 0.7670191613332914","5","","success"
"30","3","out_of_scope","3","O","","판정불가","sol_unparsed_or_grounding","N","Y","","민사집행법 강제경매 경매개시결정 압류 효력 제3자 대항 배당요구 가압류채권자 이해관계인 이의신청 매각대금 지급 | 민사집행법 제83조 경매개시결정 압류 명령 제92조 제3자 경매신청 압류 알았을 때 대항 | 민사집행법 부동산 강제경매 압류 채무자 관리 이용 영향 가압류채권자 배당요구 경매개시결정 이의 매각대금 완납 | ""제3자는 권리를 취득할 때에 경매신청 또는 압류가 있다는 것을 알았을 경우"" ""압류에 대항""","","","공인중개사법 제33조 | 공인중개사법 제51조 | 공인중개사법 시행령 제13조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제51조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제14조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 제51조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제14조 | 공인중개사법 시행령 제24조 | 공인중개사법 제51조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제14조 | 공인중개사법 시행령 제24조","0.8539065742184562 | 0.8199266273536527 | 0.8162846423002739 | 0.8145410352084516 | 0.8129435697140677 | 0.8091708482597806 | 0.8047352389413738 | 0.8019822124457338 | 0.7989187666293923 | 0.7929455531637687 | 0.8128793343622082 | 0.8072639437975503 | 0.806399706725815 | 0.8040291164009821 | 0.7967643905861967 | 0.8135997191090129 | 0.8074795644757092 | 0.8028273459914849 | 0.8017148307229589 | 0.7983658350487949","4","","answer_parse_failure"
"31","1","out_of_scope","2","X","1","O","baseline_wrong_to_sol_correct","Y","Y","공인 중개사의 매수 신청 대리인 등록 및 책임","공인중개사의 매수신청대리인 등록 등에 관한 규칙 보증금액 법인 분사무소 매수신청대리 사건카드 3년 확인 설명 교부 등기사항증명서 중개사무소 이전 14일 통지 신고 | 공인중개사의 매수신청대리인 등록 등에 관한 규칙 제 보증 법인 분사무소 2억원 1억원 | 공인중개사의 매수신청대리인 등록 등에 관한 규칙 매수신청대리 사건카드 서명날인 보존기간 | 공인중개사의 매수신청대리인 등록 등에 관한 규칙 확인 설명 서면 교부 등기사항증명서 | 공인중개사의 매수신청대리인 등록 등에 관한 규칙 중개사무소 이전 10일 14일 위임인 통지 지방법원장 신고 | 매수신청대리 보증 법인 4억원 분사무소마다 2억원 | 매수신청대리 사건카드 5년 보존 | 매수신청대리 중개사무소 이전 신고 10일 | 매수신청대리 대상물 확인 설명서 위임인 교부 사건카드 철 5년","공인중개사법 시행령 제21조 | 주택임대차보호법 제3조의2 | 공인중개사법 제25조 | 상가건물 임대차보호법 제6조 | 공인중개사법 시행규칙 제20조","0.8044284584954976 | 0.7921457945415186 | 0.7919057917885691 | 0.7895889980383576 | 0.7887760603178563","공인중개사법 시행령 제21조 | 주택임대차보호법 제3조의2 | 공인중개사법 제25조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제21조 | 공인중개사법 제25조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제21조 | 공인중개사법 제25조 | 주택임대차보호법 제3조의2 | 상가건물 임대차보호법 제6조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 시행령 제21조 | 공인중개사법 제25조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제21조 | 공인중개사법 제25조 | 주택임대차보호법 제3조의2 | 상가건물 임대차보호법 제6조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 시행령 제21조 | 주택임대차보호법 제3조의2 | 공인중개사법 제25조 | 상가건물 임대차보호법 제6조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 시행령 제21조 | 주택임대차보호법 제3조의2 | 공인중개사법 제25조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제21조 | 주택임대차보호법 제3조의2 | 공인중개사법 제25조 | 상가건물 임대차보호법 제6조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 시행령 제21조 | 주택임대차보호법 제3조의2 | 공인중개사법 제25조 | 공인중개사법 시행규칙 제20조 | 부동산 거래신고 등에 관한 법률 시행령 제6조","0.8044284584954976 | 0.7921457945415186 | 0.7919057833975666 | 0.7894543064309433 | 0.78760724186507 | 0.8044284584954976 | 0.7919057917885691 | 0.791880960739769 | 0.7894543064309433 | 0.78760724186507 | 0.8044284584954976 | 0.7919057917885691 | 0.791880960739769 | 0.7895889980383576 | 0.7894543064309433 | 0.8044284584954976 | 0.7919057917885691 | 0.791880960739769 | 0.7894543064309433 | 0.78760724186507 | 0.8044284584954976 | 0.7919057917885691 | 0.791880960739769 | 0.7895889980383576 | 0.7894543064309433 | 0.8044284584954976 | 0.7921457945415186 | 0.7919057917885691 | 0.7895889980383576 | 0.7894543064309433 | 0.8044284584954976 | 0.7921457945415186 | 0.7919057833975666 | 0.7894543064309433 | 0.78760724186507 | 0.8044284584954976 | 0.7921457945415186 | 0.7919057833975666 | 0.790275713432397 | 0.7894543064309433 | 0.8044284584954976 | 0.7921457945415186 | 0.7919057917885691 | 0.7894543064309433 | 0.78760724186507","9","","success"
"32","3","in_scope","4","X","3","O","baseline_wrong_to_sol_correct","Y","Y","집합 건물의 소유 및 관리에 관한 법률","집합건물법 일부공용부분 공유 대지 분할청구 공용부분 개량 전유부분 사용 설치 보존 하자 추정 대지사용권 매도청구 | 집합건물의 소유 및 관리에 관한 법률 제10조 공용부분 일부 구분소유자 공유 | 일부 구분소유자만의 공용에 제공되는 것이 명백한 공용부분 그들 구분소유자의 공유 제10조","집합건물의 소유 및 관리에 관한 법률 제48조 | 집합건물의 소유 및 관리에 관한 법률 제6조 | 집합건물의 소유 및 관리에 관한 법률 제8조 | 집합건물의 소유 및 관리에 관한 법률 제7조 | 집합건물의 소유 및 관리에 관한 법률 제5조","0.8124123339513384 | 0.7987694468368095 | 0.7930451268681908 | 0.7923183389697006 | 0.7917286831729854","집합건물의 소유 및 관리에 관한 법률 제48조 | 집합건물의 소유 및 관리에 관한 법률 제6조 | 집합건물의 소유 및 관리에 관한 법률 제8조 | 집합건물의 소유 및 관리에 관한 법률 제7조 | 집합건물의 소유 및 관리에 관한 법률 제5조 | 집합건물의 소유 및 관리에 관한 법률 제48조 | 집합건물의 소유 및 관리에 관한 법률 제8조 | 집합건물의 소유 및 관리에 관한 법률 제7조 | 집합건물의 소유 및 관리에 관한 법률 제5조 | 집합건물의 소유 및 관리에 관한 법률 제50조 | 집합건물의 소유 및 관리에 관한 법률 제48조 | 집합건물의 소유 및 관리에 관한 법률 제6조 | 집합건물의 소유 및 관리에 관한 법률 제8조 | 집합건물의 소유 및 관리에 관한 법률 제7조 | 집합건물의 소유 및 관리에 관한 법률 제5조","0.8124123339513384 | 0.7987694468368095 | 0.7930451268681908 | 0.7928231520310165 | 0.7917286831729854 | 0.8124123339513384 | 0.7930451268681908 | 0.7923183389697006 | 0.7917286831729854 | 0.7896625162460582 | 0.8124123339513384 | 0.7987694468368095 | 0.7930451268681908 | 0.7923183389697006 | 0.7917286831729854","3","","success"
"33","5","partial_scope","4","X","","판정불가","sol_unparsed_or_grounding","N","Y","","민법 토지임차인 지상물매수청구권 건물 소유 목적 임대차 종전 임차인 건물 매수 무허가 건물 차임 연체 해지 지상권자로부터 임차 | 민법 제643조 임차인의 갱신청구권 매수청구권 제283조 지상권자의 갱신청구권 매수청구권","","","상가건물 임대차보호법 제10조의4 | 집합건물의 소유 및 관리에 관한 법률 제48조 | 상가건물 임대차보호법 제6조 | 상가건물 임대차보호법 제10조 | 주택임대차보호법 제3조의2 | 집합건물의 소유 및 관리에 관한 법률 제48조 | 상가건물 임대차보호법 제6조 | 주택임대차보호법 제6조의3 | 상가건물 임대차보호법 제10조 | 주택임대차보호법 제3조의2","0.8007811165053176 | 0.7981081323877772 | 0.7934240215973866 | 0.7886846354823281 | 0.7879941529487082 | 0.7886725635031197 | 0.785093287888777 | 0.7834865777426833 | 0.7774374834849868 | 0.7749718355609213","2","","grounding_validation_failure"
